Speed,Angle,Rim_Center_X
102,64.79887635452492,280
102,74.82708465447475,377
102,66.5839692417696,547
102,74.39605285494325,296
102,82.93739732958423,203
102,75.13171864150179,500
102,82.46739859905264,238
102,78.69006752597979,319
102,67.61986494804043,566
102,73.22877618136958,442
102,79.40057628356654,269
102,74.47588900324574,464
102,56.79879244973131,545
102,77.310587863516,279
102,75.02316406045792,483
102,65.73523393799697,579
102,65.74608027568341,508
102,71.93952806380082,533
102,63.149186706045484,499
102,81.52885536698517,247
102,76.10880882854515,401
102,77.38811485340092,345
102,67.36282514931007,567
102,75.03572031929278,300
102,80.93349726018383,291
102,72.23235953291308,437
102,71.47065953345681,450
102,78.69006752597979,277
102,72.24364965934593,545
102,76.40905155215867,366
102,64.29004621918874,400
102,68.50635360298217,442
102,72.54513220677141,534
102,72.82409638425325,336
102,77.97772331381648,325
102,79.8925731234684,350
102,67.92386591917665,588
102,73.7676493388438,317
102,78.0792614600777,278
102,77.1180222101148,332
102,80.62790729142093,234
102,79.06618321424422,242
102,75.81888761319718,316
102,77.26570920465241,299
102,72.73419050498542,371
79.9988124911864,72.99205304459268,208
102,71.97284343364375,478
102,75.29169610031725,311
102,70.42687416958981,578
102,68.39945131923916,427
102,71.04576830048883,468
102,71.03780428541066,438
102,76.84905131905529,349
102,72.18111108547723,514
102,76.646629792759,283
102,69.15647209754833,529
102,69.26129085247779,465
102,81.33586456689194,233
102,70.11483488614456,335
102,80.15417763214744,262
102,68.72683450610552,480
102,59.32893966766166,579
102,66.00830828609884,467
102,66.40517943011854,356
102,67.12633480937329,546
102,68.03943597990354,408
102,66.67044793267641,538
102,67.38013505195957,337
102,70.20112364547508,581
102,74.92086602503888,214
102,70.23000984394176,579
102,71.35310721341291,351
102,74.54307182902775,383
102,69.37236492240353,436
102,72.62596286734222,303
102,46.621145913653415,445
102,71.56505117707799,213
102,52.26324474058457,500
102,51.79594401601896,383
102,87.15786211634433,203
102,50.31454566994475,571
102,83.418055344822,485
102,62.185706144224774,370
98.64344884481686,58.05002855366685,583
82.81956290635685,42.357454705935275,490
102,64.5158730095827,452
102,63.62157936648758,516
102,71.01939358366226,484
102,71.82787401031452,321
102,64.6538240580533,422
105,61.66347908288794,505
105,69.40590977969123,297
105,64.79887635452492,562
105,71.77884040695511,266
105,57.094757077012105,550
100.40418317978589,84.85723544211577,220
105,81.86989764584403,205
105,74.41369550852684,244
99.29753269845128,71.20011484134736,274
105,72.27237054562225,276
105,70.28570548470195,324
105,66.4599607304857,411
105,70.31968691030964,404
105,79.81337024005522,256
105,72.69326860888997,370
